Sr. No.,State,District,Policestation,Year,FIR_No.,Registration_Date,Section
1485,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,26,28-01-2023 20:26,"Indian Penal Code 180 - 607,620;"
1486,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,25,27-01-2023 19:34,Indian Penal Code 180 - 379;
1487,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,24,26-01-2023 00:52,Indian Penal Code 180 - 304 -A;
1488,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,22,22-01-2023 06:42,"Indian Penal Code 180 - 323,326,507,507;"
1489,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,21,19-01-2023 22:27,"Maharashtra Jugar Restrictive Act, 17 - 12,4; Lottery Regulation Act 1979 - 7 (3);"
1490,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,20,19-01-2023 13:17,"Indian Penal Code 180 - 37,620,6;"
1491,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,19,18-01-2023 19:38,"Indian Penal Code 180 - 324,507;"
1492,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,18,18-01-2023 02:22,"Cigarete molecules other tambakhu products (Vishwasi Ban Banage Business and Commerce Behavior Productions, Puravatha and Distribution Production Regulation) Act, 2003 - 21A, 4A;"
1493,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,17,17-01-2023 16:43,Indian Penal Code 180 - 379;
1494,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,16,17-01-2023 02:25,"Indian Penal Code 180 - 324,34,507;"
1495,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,15,16-01-2023 22:43,"Establishment Act, 1959 - 25,3; Indian Penal Code 180 - 506 (2), 507;"
1496,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,14,12-01-2023 21:41,Indian Penal Code 180 - 373;
1497,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,13,12-01-2023 19:23,"Indian Penal Code 180 - 324,34,507;"
1498,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,12,11-01-2023 22:36,Indian Penal Code 180 - 607;
1499,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,11,10-01-2023 23:00,Indian Penal Code 180 - 373;
1500,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,10,10-01-2023 20:57,"Indian Penal Code 180 - 323,326,507,507; Maharashtra Police Act, 1951 - 135,37 (1);"
1501,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,9,10-01-2023 18:43,Indian Penal Code 170 - 620;
1502,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,8,09-01-2023 18:21,Indian Electricity Act (Reform) 2003 - 135;
1503,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,7,09-01-2023 17:03,"Indian Penal Code 180 - 323,325,372,506 (2), 507; Child Justice (Mulanchi Kaji Mudra Protection) Act, 2000 - 23;"
1504,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,6,07-01-2023 20:09,Indian Penal Code 180 - 373;
1505,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,5,07-01-2023 10:33,"Indian Penal Code 180 - 379, 624;"
1506,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,4,05-01-2023 19:01,"Indian Penal Code 180 - 607,620;"
1507,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,3,05-01-2023 01:06,"Maharashtra Darubandi Act, 1979 - 85;"
1508,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,2,04-01-2023 02:06,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 184;"
1509,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,42,31-01-2023 17:01,"Indian Penal Code 180 - 323,326,507;"
1510,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,40,25-01-2023 05:43,Gungikar drug deeds and psychiatrics
1511,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,39,25-01-2023 03:33,Gungikar drug deeds and psychiatrics
1512,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,38,24-01-2023 20:44,Indian Penal Code 180 - 243;
1513,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,37,24-01-2023 20:25,Indian Penal Code 180 - 243;
1514,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,36,24-01-2023 16:15,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1515,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,35,24-01-2023 15:57,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1516,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,34,24-01-2023 15:36,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1517,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,33,23-01-2023 14:20,"Indian Penal Code 180 - 323,37,498 -A, 504;"
1518,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,32,22-01-2023 17:21,"Indian Penal Code 180 - 323,326,507,507;"
1519,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,31,19-01-2023 19:36,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1520,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,30,19-01-2023 19:13,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1521,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,29,19-01-2023 18:56,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1522,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,28,19-01-2023 14:44,"Indian Penal Code 180 - 37,380,656,656;"
1523,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,27,18-01-2023 19:41,"Mahiti Tantra Gyan (Reform) Act 2007 - 66C, 66D;"
1524,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,26,18-01-2023 18:02,"Indian Penal Code 180 - 370, 656,656;"
1525,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,25,17-01-2023 20:23,Indian Penal Code 180 - 379;
1526,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,24,16-01-2023 22:54,"Indian Penal Code 180 - 370,656;"
1527,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,23,14-01-2023 09:16,"Indian Penal Code 180 - 249, 337,507,507; Motor Vehicle Act, 1979 - 137 (a), 137 (b); Motar Vehicle Act, 1956 - 184;"
1528,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,22,12-01-2023 18:29,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1529,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,21,12-01-2023 00:00,"Indian Penal Code 180 - 37,607,799;"
1530,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,20,11-01-2023 23:11,Indian Penal Code 170 - 620;
1531,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,19,11-01-2023 18:11,Indian Penal Code 180 - 379;
1532,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,18,09-01-2023 20:30,"Indian Penal Code 180 - 370,656;"
1533,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,17,09-01-2023 20:05,"Indian Penal Code 180 - 307,507,507;"
1534,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,16,09-01-2023 15:54,Indian Penal Code 180 - 379;
1535,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,15,09-01-2023 15:27,Indian Penal Code 180 - 379;
1536,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,14,06-01-2023 19:34,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1537,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,13,06-01-2023 18:29,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1538,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,12,06-01-2023 17:32,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1539,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,11,05-01-2023 16:09,Indian Penal Code 180 - 379;
1540,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,9,03-01-2023 15:05,Indian Penal Code 180 - 379;
1541,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,8,02-01-2023 23:26,Indian Penal Code 180 - 373;
1542,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,7,02-01-2023 19:35,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1543,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,6,02-01-2023 19:09,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1544,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,5,02-01-2023 18:47,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1545,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,4,02-01-2023 18:09,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1546,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,3,02-01-2023 14:27,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1547,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,2,02-01-2023 14:03,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52;"
1548,MAHARASHTRA,THANE CITY,VISHNU NAGAR,2023,1,01-01-2023 23:19,"Indian Penal Code 180 - 37,399;"
1549,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,30,01-02-2023 16:12,"Indian Penal Code 180 - 324,361,507,506;"
1550,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,29,01-02-2023 12:07,Indian Penal Code 180 - 373;
1551,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,27,29-01-2023 01:57,Indian Penal Code 180 - 379;
1552,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,26,28-01-2023 23:55,"Maharashtra Police Act, 1951 - 142;"
1553,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,25,28-01-2023 20:43,"Indian Penal Code 180 - 323,37,652,506 (2), 507;"
1554,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,24,28-01-2023 17:53,"Indian Penal Code 180 - 370,656;"
1555,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,23,25-01-2023 04:26,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1556,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,22,25-01-2023 01:23,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1557,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,21,23-01-2023 19:58,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
1558,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,20,23-01-2023 17:44,"Indian Penal Code 180 - 37,498 -A, 607;"
1559,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,19,20-01-2023 06:57,"Passport Act, 1979 - 14,3,6; Parapan (Bharatamadhyay Entrance), 1950 - 3 (a);"
1560,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,18,19-01-2023 23:06,Indian Penal Code 180 - 379;
1561,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,17,17-01-2023 20:35,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1562,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,16,17-01-2023 00:41,"Indian Penal Code 180 - 370,656;"
1563,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,15,14-01-2023 16:35,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
1564,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,14,12-01-2023 19:18,Indian Penal Code 180 - 373;
1565,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,13,12-01-2023 16:34,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1566,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,12,10-01-2023 18:51,Indian Penal Code 180 - 379;
1567,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,11,10-01-2023 13:14,"Indian Penal Code 180 - 370, 656,656;"
1568,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,10,10-01-2023 09:44,Indian Penal Code 180 - 326;
1569,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,9,09-01-2023 20:51,Indian Penal Code 180 - 373;
1570,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,8,08-01-2023 12:50,"Indian Penal Code 180 - 323,326,34,507;"
1571,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,7,08-01-2023 00:46,Mahiti Tantra Gyan (Reform) Act 2007 - 67A;
1572,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,6,07-01-2023 17:34,Indian Penal Code 180 - 379;
1573,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,5,06-01-2023 15:15,"Indian Penal Code 180 - 307,652,506 (2);"
1574,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,4,05-01-2023 08:09,"Corruption Restrictive Act, 1979 - 7;"
1575,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,3,04-01-2023 15:27,"Indian Penal Code 180 - 324,507,507;"
1576,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,2,03-01-2023 21:08,"Indian Penal Code 180 - 14,242,243,326,34; Food Protection Anani Mannay Act 2007 - 23,26 (2), 26 (2) (iv), 27,30 (2) (a), 59;"
1577,MAHARASHTRA,THANE CITY,VITTHALWADI,2023,1,01-01-2023 04:05,"Indian Penal Code 180 - 324,34,507;"
1578,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,19,30-01-2023 05:15,"Indian Penal Code 180 - 370, 656,656;"
1579,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,18,30-01-2023 04:25,"Establishment Act, 1959 - 25,4;"
1580,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,17,24-01-2023 21:49,"Indian Penal Code 180 - 323,326,34,507;"
1581,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,16,24-01-2023 17:34,"Maharashtra Police Act, 1951 - 142;"
1582,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,15,23-01-2023 16:29,"Indian Penal Code 180 - 323,37,498 -A, 504;"
1583,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,14,20-01-2023 07:47,"Indian Penal Code 180 - 299; Maharashtra Police Act, 1951 - 131,33 (w); Maharashtra Hotail, Gift Group Aani Alcohol Room (Bar room) Yamadhila Porn Nannavar Ban Ghalan Ghalanyabat and (Tyamadhyay Kama Karnaya) Mahilacha Pratishthe Pratishthe Protection Protection Act 2016 - 8 (2);"
1584,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,13,19-01-2023 21:48,"Maharashtra Jugar Restrictive Act, 17 - 12,4; Lottery Regulation Act 1979 - 7 (3);"
1585,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,12,19-01-2023 19:06,"Indian Penal Code 180 - 37,620,65,6,6,61;"
1586,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,11,18-01-2023 18:32,"Maharashtra Police Act, 1951 - 142;"
1587,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,10,16-01-2023 09:59,"Indian Penal Code 180 - 323,326,34;"
1588,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,9,15-01-2023 14:35,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 184;"
1589,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,8,13-01-2023 00:43,Indian Penal Code 180 - 373;
1590,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,7,11-01-2023 20:07,"Indian Penal Code 180 - 37,604,609, 620;"
1591,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,6,08-01-2023 20:47,Indian Penal Code 180 - 373;
1592,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,5,08-01-2023 12:10,"Indian Penal Code 180 - 323,326,34,507;"
1593,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,4,06-01-2023 17:11,Indian Penal Code 180 - 379;
1594,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,3,03-01-2023 18:27,"Maharashtra Police Act, 1951 - 142;"
1595,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,2,02-01-2023 15:10,"Indian Penal Code 180 - 37,620;"
1596,MAHARASHTRA,THANE CITY,WAGLE ESTATE,2023,1,02-01-2023 02:14,"Maharashtra Police Act, 1951 - 142;"
